,number,work,volume,page,panel,metaphor,type1,type2,type3,,,,,
Sample_160,1353,March comes in Like a Lion (Sangatsu no Lion),17,29,3,included,b,,,,,,,
Sample_161,1354,March comes in Like a Lion (Sangatsu no Lion),17,30,1,included,b,c,,,,,,
Sample_162,1355,March comes in Like a Lion (Sangatsu no Lion),17,39,6,included,b,,,,,,,
Sample_163,1356,March comes in Like a Lion (Sangatsu no Lion),17,41,5,included,d,,,,,,,
Sample_164,1357,March comes in Like a Lion (Sangatsu no Lion),17,42,"1,2",included,b,,,,,,,
Sample_165,1358,March comes in Like a Lion (Sangatsu no Lion),17,45,"1,3",included,b,,,,,,,
Sample_166,1359,March comes in Like a Lion (Sangatsu no Lion),17,46,1,included,b,,,,,,,
Sample_167,1360,March comes in Like a Lion (Sangatsu no Lion),17,47,"1,2,3,4",included,b,,,,,,,
Sample_168,1361,March comes in Like a Lion (Sangatsu no Lion),17,56,"1,2,3",included,b,,,,,,,
Sample_169,1362,March comes in Like a Lion (Sangatsu no Lion),17,57,"1,2",included,d,,,,,,,
Sample_170,1363,March comes in Like a Lion (Sangatsu no Lion),17,60,3,included,d,,,,,,,
Sample_171,1366,March comes in Like a Lion (Sangatsu no Lion),17,61,1,included,d,,,,,,,
Sample_172,1367,March comes in Like a Lion (Sangatsu no Lion),17,71,4,included,b,,,,,,,
Sample_173,1368,March comes in Like a Lion (Sangatsu no Lion),17,123,2,included,d,,,,,,,
Sample_174,1369,March comes in Like a Lion (Sangatsu no Lion),17,128,"1,2",included,d,,,,,,,
Sample_175,1370,March comes in Like a Lion (Sangatsu no Lion),17,129,"1,2",included,d,,,,,,,
Sample_176,1371,March comes in Like a Lion (Sangatsu no Lion),17,130,"1,2",included,d,,,,,,,
Sample_177,1373,March comes in Like a Lion (Sangatsu no Lion),17,141,"1,2",included,b,,,,,,,
Sample_178,1374,March comes in Like a Lion (Sangatsu no Lion),17,144,2,included,b,,,,,,,
Sample_179,1375,March comes in Like a Lion (Sangatsu no Lion),17,155,"1,2,3",included,d,,,,,,,
Sample_180,1376,March comes in Like a Lion (Sangatsu no Lion),17,162,2,included,d,,,,,,,
Sample_181,1377,March comes in Like a Lion (Sangatsu no Lion),17,169,"1,2",included,d,,,,,,,
Sample_182,1378,March comes in Like a Lion (Sangatsu no Lion),17,170,"1,2",included,d,,,,,,,
Sample_183,1379,March comes in Like a Lion (Sangatsu no Lion),17,171,1,included,d,,,,,,,
Sample_184,1380,March comes in Like a Lion (Sangatsu no Lion),18,19,2,included,d,,,,,,,
Sample_185,1382,March comes in Like a Lion (Sangatsu no Lion),18,64,3,included,a,,,,,,,
Sample_186,1383,March comes in Like a Lion (Sangatsu no Lion),18,65,4,included,a,,,,,,,
Sample_187,1384,March comes in Like a Lion (Sangatsu no Lion),18,66,"1,3",included,c,a,,,,,,
Sample_188,1385,March comes in Like a Lion (Sangatsu no Lion),18,71,2,included,a,,,,,,,
Sample_189,1386,March comes in Like a Lion (Sangatsu no Lion),18,72,2,included,c,,,,,,,
Sample_190,1387,March comes in Like a Lion (Sangatsu no Lion),18,74,3,included,a,,,,,,,
Sample_191,1388,March comes in Like a Lion (Sangatsu no Lion),18,76,5,included,a,,,,,,,
